PixelID,TelID,EyeID,Status,Charge,Theta,Phi,TimeOffset,PulseStart,PulseCentroid,PulseStop,TraceBins
559,2,5,0,0,43.0403,99.1244,0,538,0,557,14.3148 -1.80992 -9.87228 -7.18483 -4.49737 -1.80992 -15.2472 -25.997 -17.9346 -1.80992 8.9399 -9.87228 -9.87228 -4.49737 -4.49737 -15.2472 -20.6221 -4.49737 8.9399 -1.80992 -7.18483 -4.49737 3.56499 22.3772 11.6274
514,2,5,0,0,41.4813,101.923,0,538,0,557,-13.748 -13.748 -1.39875 15.8903 -23.6275 -13.748 -1.39875 -11.2782 -18.6877 -13.748 -6.33846 -13.748 6.01083 -8.80832 -13.748 -3.8686 -1.39875 15.8903 10.9505 -1.39875 3.54097 13.4204 18.3601 -1.39875 -8.80832
537,2,5,0,0,42.8565,101.158,0,538,0,557,-5.33204 -10.2617 2.06239 2.06239 -17.6561 -15.1913 -7.79686 2.06239 -10.2617 -5.33204 2.06239 11.9216 4.52721 14.3865 29.1753 9.45683 4.52721 4.52721 -25.0505 -15.1913 -17.6561 -20.1209 -17.6561 -17.6561 -20.1209
52,1,5,0,0,40.7594,58.3713,0,598,0,605,2.77814 -18.5158 -21.5578 -27.6417 -33.7257 39.282 36.24 -0.263846 -3.30583 -12.4318 -24.5998 -12.4318 2.77814
73,1,5,0,22.4571,39.6084,57.1482,0,598,0,605,-25.3213 -12.9833 11.6928 5.52378 17.8618 27.1153 -12.9833 -19.1523 2.43928 5.52378 8.60829 11.6928 2.43928
75,1,5,0,87.3278,42.1405,57.6521,0,594,0,608,-8.97277 1.55815 1.55815 -12.4831 -1.95216 5.06845 43.6818 1.55815 -23.014 8.57875 61.2333 12.0891 -26.5243 -5.46246 -1.95216 19.1097 12.0891 -5.46246 -8.97277 15.5994
76,1,5,0,7.59788,43.5218,56.9088,0,594,0,608,-10.8458 -5.16192 6.2059 -8.00387 0.521991 37.4674 17.5737 -8.00387 -36.4234 -13.6878 23.2576 43.1513 20.4157 -8.00387 -19.3717 0.521991 -5.16192 -13.6878 -2.31996 -10.8458
95,1,5,0,0,39.8057,55.2153,0,598,0,605,-7.49661 -11.0543 -0.381183 -11.0543 -18.1697 3.17653 -3.9389 -7.49661 -7.49661 6.73424 -0.381183 -3.9389 -7.49661
74,1,5,4,390.646,40.9825,56.4096,0,598,300.792,605,15.6889 15.6889 -3.44458 7.48883 10.2222 81.2894 187.89 64.8893 26.6223 10.2222 2.02212 -6.17794 -0.71123
96,1,5,0,79.08,41.1721,54.4357,0,594,0,610,-5.91225 -20.044 -8.7386 -20.044 -22.8703 -3.08591 -14.3913 11.0458 -0.259562 11.0458 90.1835 70.3991 8.21947 -17.2176 -0.259562 11.0458 8.21947 11.0458 -14.3913 -17.2176 -3.08591 5.39313
