EventID,Rec_Level,Event_Class,Primary,Gen_LogE,Gen_CosZenith,Gen_Xmax,Gen_dEdXmax,Gen_SDPPhi,Gen_SDPTheta,Gen_Chi0,Gen_Rp,Gen_T0,Gen_CoreEyeDist,Gen_CherenkovFraction,Rec_LogE,Rec_CosZenith,Rec_Xmax,Rec_dEdXmax,Rec_SDPPhi,Rec_SDPTheta,Rec_Chi0,Rec_Rp,Rec_T0,Rec_CoreEyeDist,Rec_CherenkovFraction,Pixel_Start,Pixel_End
Batch_300001867:Shower_5372,10,1,26056,16.2884,0.90208,543.155,0.027703,2.04529,1.85117,1.21879,1017.87,29984.6,1084.36,79.6363,16.5436,0,438.189,0.0486222,2.04276,1.85614,1.24924,1073.08,29919.4,1130.03,80.5959,5401,5430
Batch_300001867:Shower_6131,10,4,2004,16.7829,0.673746,640.193,0.0916242,2.19073,2.27936,1.09145,801.798,29993.5,903.643,96.2433,16.8004,0,625.61,0.0730698,2.2043,2.267,1.07418,833.63,30001.2,953.745,97.8613,5430,5480
Batch_300001867:Shower_9880,10,1,2004,16.1783,0.481117,622.586,0.0233784,-0.0995151,1.36052,2.62674,1329.69,29985.3,2700.38,94.3977,16.1787,0,660.981,0.0198286,-0.115959,1.33495,2.62192,1282.74,29992.2,2585.89,95.7849,5480,5515
Batch_300000792:Shower_3325,10,0,2004,16.9772,0.71471,626.801,0.142663,-1.95008,1.03718,2.16185,1603.51,29968.5,1931.12,63.876,16.9236,0,590.381,0.117464,-1.94091,1.04277,2.11645,1620.79,30121.6,1896.53,68.6351,5515,5568
Batch_300000792:Shower_3826,10,4,2212,15.8983,0.675294,579.537,0.0123664,-2.32354,0.970073,0.958796,1177.28,28985,1438.34,94.2273,16.3637,0,817.659,0.0307139,-2.39077,1.02696,0.954986,1235.08,28896.7,1515.09,94.8115,5568,5592
Batch_300000792:Shower_3842,5,1,2212,15.8983,0.675005,579.537,0.0123664,-0.411413,1.0509,2.25012,1256,28982.6,1614.4,88.0833,-inf,0,0,0,0.365084,1.86822,2.44584,180.574,28962.2,307.166,-123,5592,5621
Batch_300000792:Shower_8203,10,4,2004,15.8091,0.71922,556.08,0.00763276,-1.77042,0.975143,1.05273,1066.76,29986.9,1227.88,91.0556,15.862,0,777.427,0.00959183,-1.82438,1.00667,1.06953,984.189,29934.2,1116.17,91.6431,5621,5661
Batch_300000792:Shower_8219,10,4,2004,15.8091,0.719237,556.08,0.00763276,-2.59102,1.61242,0.803486,739.487,29993.4,1027.38,96.2271,15.8989,0,700.093,0.0105097,-2.59962,1.62152,0.834447,762.795,29940.3,1024.67,96.6755,5661,5698
Batch_300000414:Shower_7837,10,0,26056,16.2384,0.702631,526.579,0.0240611,-1.26553,0.86813,1.97128,1079.67,29986.2,1172.44,90.1856,16.2385,0,556.697,0.0234669,-1.25703,0.870276,1.97938,1096.83,29972.6,1193.55,92.7371,5698,5746
Batch_300001990:Shower_1441,5,4,2212,15.4447,0.677808,528.498,0.00441407,-1.40522,0.854334,1.117,524.877,29997.2,583.983,98.5988,-inf,0,0,0,0.555811,1.2212,2.4751,127.435,29661,112.93,-123,5746,5809
Batch_300001990:Shower_1885,5,7,2004,15.6375,0.602013,588.061,0.00635155,2.21898,2.49502,1.53451,828.116,29993.9,828.662,97.5256,-inf,0,0,0,0.258845,1.14046,2.55577,66.7778,29608,107.675,-123,5809,5827
Batch_300001990:Shower_2957,10,1,7014,16.3187,0.566914,629.963,0.031973,-0.645993,0.732649,2.12945,1888.01,28892,2226.51,83.378,16.3835,0,607.963,0.0325186,-0.837605,0.709494,1.9023,1883.9,29130.3,2029.48,89.1646,5827,5846
Batch_300001990:Shower_3486,10,1,26056,16.1531,0.802165,537.892,0.0206234,-2.9785,1.54604,0.931171,966.625,29988.2,1204.79,91.0624,16.2376,0,626.393,0.0255649,-2.96655,1.53612,0.956635,989.55,29932,1207.74,91.2892,5846,5893
Batch_300001990:Shower_5059,10,0,26056,17.1047,0.767667,633.771,0.17323,-3.10801,2.20956,1.86718,2822.56,26782.7,2951.24,20.6325,17.0896,0,484.155,0.174517,-3.1122,2.20404,1.55219,3132.04,28382.2,3136.75,23.7928,5893,5962
Batch_300001990:Shower_5579,10,1,26056,17.0693,0.625111,571.056,0.170878,1.05154,1.81459,2.44098,2485.32,28933.4,3855.08,46.9308,17.1407,0,719.056,0.19609,1.04417,1.81105,2.47161,2408.13,28856.9,3871.78,53.9646,5962,5994
Batch_300001990:Shower_7022,10,7,2004,15.9015,0.62563,564.057,0.0107747,-1.98794,0.816557,2.1089,1301.49,29982.4,1515.69,88.5642,15.7165,0,750.402,0.00683475,-1.8601,0.85146,2.20934,1041.8,30018.1,1304.61,93.3819,5994,6026
Batch_300001990:Shower_7029,10,1,2004,15.9015,0.625502,564.057,0.0107747,-1.15213,1.54831,2.46523,1281.95,29982.7,2047.98,87.6783,16.7459,0,616.168,0.0769474,-1.17867,1.5088,2.5694,1372.49,29714,2527.49,72.8679,6026,6050
Batch_300001990:Shower_9743,5,5,26056,16.0267,0.800185,529.285,0.0145533,1.63417,1.90092,1.00817,270.25,29999.4,319.499,98.8751,-inf,0,0,0,-0.200131,2.76078,1.68739,185.689,29953.8,171.915,-123,6050,6155
Batch_300001360:Shower_2510,10,1,2004,16.9652,0.647544,571.062,0.139185,2.73751,2.32716,1.09754,2393.09,28937.6,2688.6,72.2098,16.8348,0,531.103,0.0953851,2.7188,2.33914,1.05247,2410.58,29178.3,2783.69,80.8547,6155,6175
Batch_300001360:Shower_2539,10,0,2004,16.9652,0.647216,571.062,0.139185,1.65132,2.3865,1.90517,2499.16,28930.9,2645.69,52.8801,16.9228,0,507.029,0.117342,1.56622,2.38487,1.93736,2496.33,29064.3,2669.02,64.5197,6175,6219
Batch_300001360:Shower_4742,5,5,26056,15.4986,0.792968,460.163,0.00411302,-2.75154,1.09265,1.10422,529.446,29997,592.81,97.3285,-inf,0,0,0,-2.77368,1.11357,2.33437,-35.9398,31235.9,-11.539,-123,6219,6254
Batch_300001360:Shower_6739,10,4,2004,16.3821,0.696355,608.18,0.0342164,1.6819,2.37075,1.60215,731.7,29994.5,732.06,95.0076,16.3903,0,707.032,0.0327399,1.72298,2.3659,1.5876,724.303,29982.7,726.116,96.6408,6254,6302
Batch_300001360:Shower_9740,10,5,7014,15.4908,0.543235,504.409,0.0045651,1.19769,2.45448,2.11283,941.135,28992.5,1098.61,97.3264,15.7302,0,463.715,0.00737622,1.00355,2.39875,2.26764,1141.56,28958.2,1430.8,97.163,6302,6329
Batch_300001579:Shower_1332,10,4,2212,16.0678,0.621486,554.684,0.0189328,-1.89028,0.859198,0.962315,1283.35,29983.1,1564.07,94.7959,15.998,0,735.291,0.0135023,-1.91619,0.875685,0.966477,1152.92,29959.5,1394.13,95.3417,6329,6361
Batch_300001579:Shower_1347,10,4,2212,16.0678,0.621547,554.684,0.0189328,-2.52879,1.42762,0.678745,1035.01,29989.5,1648.58,97.1357,16.1308,0,627.954,0.017912,-2.52044,1.41375,0.685463,1043.9,29975,1647.61,97.7058,6361,6427
Batch_300001579:Shower_1553,10,7,2004,16.1197,0.529502,572.031,0.0206163,0.515729,2.56403,1.81612,1697.5,29973.8,1749.89,92.7491,16.0518,0,589.668,0.0146352,0.315002,2.54561,1.97288,1571.4,30026.7,1694.37,94.7788,6427,6461
